Phase,Period,Amount
training,day,0.8663459455488111
validation,day,0.4638164017811208
training,day,0.8555294048749702
validation,day,0.35881399436600114
training,day,0.8819486995153137
validation,day,0.4759071357243787
training,day,0.8651915506360764
validation,day,0.3644255209432722
training,day,0.8858529317473862
validation,day,0.5665805297931672
training,day,0.8767759874594322
validation,day,0.5694861022423958
training,day,0.8698376244324161
validation,day,0.5113955613457632
training,day,0.8862592456061912
validation,day,0.6104953183623519
training,day,0.8798272331791365
validation,day,0.541528289789412
training,day,0.8775596010885813
validation,day,0.5022818339968409
training,day,0.8839933779619251
validation,day,0.5330035813629737
training,day,0.8833669721323474
validation,day,0.5081362327927765
training,day,0.8848589402946714
validation,day,0.5722659481798321
training,day,0.886264480418718
validation,day,0.556313790051252
training,day,0.8685812460414447
validation,day,0.48944217495811826
training,day,0.8866294185377852
validation,day,0.6297778353826347
training,day,0.8861655905534662
validation,day,0.6553296557579904
training,day,0.8948870340669894
validation,day,0.6260338433686469
training,day,0.8945828961521728
validation,day,0.6255200373939798
training,day,0.8901960868336273
validation,day,0.6496763455289489
training,day,0.8971345455431502
validation,day,0.6174003065552949
training,day,0.895345982635721
validation,day,0.5994948057514462
training,day,0.8582826970096107
validation,day,0.494388250307807
training,day,0.8591499885609872
validation,day,0.4492945290705367
training,day,0.8800446584737237
validation,day,0.45520334860464307
training,night,0.950466118584065
validation,night,0.8500737913312698
training,night,0.9526488092423288
validation,night,0.8405127364043378
training,night,0.954673116327222
validation,night,0.847611147102484
training,night,0.9497863480405717
validation,night,0.8498440589913834
training,night,0.9516110736522523
validation,night,0.8735945725956158
training,night,0.9544689981106743
validation,night,0.901545844704555
training,night,0.9527615864647397
validation,night,0.8555836979135423
training,night,0.9565030173971562
validation,night,0.8625340061392159
training,night,0.955006655293478
validation,night,0.871366977412577
training,night,0.9534343127283439
validation,night,0.907594168783798
training,night,0.9523301393076951
validation,night,0.8786529732554029
training,night,0.9563228044997546
validation,night,0.8428485129159433
training,night,0.9542022020574917
validation,night,0.8926195709292923
training,night,0.9551667381878808
validation,night,0.8580550325663399
training,night,0.9513396858387745
validation,night,0.832161535989476
training,night,0.9521261730611146
validation,night,0.8720927057212291
training,night,0.9494152472378756
validation,night,0.8898987925674039
training,night,0.9557437038227783
validation,night,0.8861157632465424
training,night,0.9520951710802853
validation,night,0.8630486777699986
training,night,0.9525302851858668
validation,night,0.8614441763717682
training,night,0.9555972269203507
validation,night,0.8794194896111813
training,night,0.9559197610278759
validation,night,0.8800601558759118
training,night,0.9520187122719435
validation,night,0.8749191160156153
training,night,0.9494811222043668
validation,night,0.8430039270545495
training,night,0.9574341151282715
validation,night,0.8664660034699189
test,day,0.6257626397028182
test,night,0.8894906496981672
test,day,0.5633620964090726
test,night,0.864373667815349
test,day,0.6224962812818711
test,night,0.872946277922001
test,day,0.5673660135376675
test,night,0.8894827531307669
test,day,0.5896196704455511
test,night,0.8652352175240821
